*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=micro-bit-badge
*Date=21:39:16
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;46.9899;-45.8179;0;Bottom;Via25
2;;;37.4678;-5.13199;180;Bottom;P38
3;;;32.244;-53.4377;-90;Bottom;TXT1
4;;;26.134;-60.2271;0;Bottom;TXT3
5;;;47.5869;-2.6914;0;Bottom;Copper Fill36
6;;;40.7416;-6.349;0;Bottom;Copper Fill28
7;;;17.7799;-2.7506;0;Top;3v7
8;;;42.0259;-21.4525;0;Bottom;TXT2
9;;;17.7799;-58.5883;0;Bottom;Via31
10;;;6.1976;-57.0982;0;Bottom;Copper Fill8
11;;;25.9643;-55.2722;0;Bottom;Via54
12;;;33.8074;-52.7548;0;Bottom;Copper Fill42
13;;;19.7555;-53.1555;-90;Bottom;TXT1
14;;;43.1517;-6.02454;0;Bottom;Via71
15;;;17.7799;-63.9505;0;Bottom;P8
16;;;19.0499;-2.77882;0;Bottom;P34
17;;;51.0794;-2.8311;0;Bottom;Copper Fill70
18;;;43.1799;-45.6768;0;Bottom;Via4
19;;;29.2099;-2.77882;0;Bottom;P30
20;;;19.0499;-2.7506;0;Top;P53
21;;;33.0199;-63.9506;0;Bottom;P16
22;;;10.0188;-54.7078;0;Bottom;Via15
23;;;50.7365;-48.7416;0;Bottom;Copper Fill58
24;;;48.2599;-50.8979;0;Bottom;Via30
25;;;30.4799;-63.9505;0;Bottom;P14 MISO
26;;;51.0794;-63.9943;0;Bottom;Copper Fill34
27;;;37.5418;-53.6494;-90;Bottom;TXT1
28;;;48.2599;-45.8179;0;Bottom;Via29
29;;;6.13824;-52.2384;0;Bottom;Via22
30;;;30.9315;-38.0568;0;Bottom;Via59
31;;;24.8064;-46.1293;-90;Bottom;TXT1
32;;;30.4038;-29.6154;0;Bottom;Copper Fill17
33;;;34.8545;-53.4377;-90;Bottom;TXT1
34;;;20.7432;-42.0784;0;Bottom;Via45
35;;;14.5814;-7.41205;0;Bottom;Via69
36;;;49.5299;-50.8979;0;Bottom;Via46
37;;;1.2699;-63.9505;0;Bottom;P3
38;;;6.3499;-15.3379;0;Bottom;Via21
39;;;21.5899;-2.7506;0;Top;P51
40;;;20.3199;-2.7506;0;Top;P52
41;;;7.6199;-63.9505;0;Bottom;P4
42;;;45.3517;-34.543;0;Bottom;Copper Fill55
43;;;1.2699;-45.6768;0;Bottom;Via7
44;;;1.5494;-68.6044;0;Bottom;Copper Fill1
45;;;40.6399;-50.7568;0;Bottom;Via2
46;;;14.5908;-5.13199;180;Bottom;3v6
47;;;44.5008;-35.3939;0;Bottom;Copper Fill56
48;;;26.0142;-26.5406;0;Bottom;IMG2
49;;;17.2466;-52.2722;0;Bottom;Copper Fill43
50;;;51.1556;-48.2463;0;Bottom;Copper Fill60
51;;;37.6276;-60.2271;0;Bottom;TXT3
52;;;42.2972;-32.2711;0;Bottom;TXT2
53;;;24.7649;-38.0497;0;Bottom;Via52
54;;;6.0198;-21.716;0;Bottom;Copper Fill24
55;;;22.1958;-46.1293;-90;Bottom;TXT1
56;;;30.6324;-53.9232;0;Bottom;Copper Fill40
57;;;47.6251;-68.6072;0;Bottom;Via65
58;;;27.4066;-40.004;0;Bottom;Copper Fill21
59;;;24.8002;-42.0784;0;Bottom;Via48
60;;;4.40284;-64.1782;0;Bottom;TXT3
61;;;3.2258;-59.0794;0;Bottom;Copper Fill7
62;;;30.4517;-8.1254;0;Bottom;Via75
63;;;27.6365;-38.0497;0;Bottom;Via49
64;;;42.545;-68.6044;0;Bottom;Copper Fill5
65;;;27.4168;-45.853;-90;Bottom;TXT1
66;;;3.73935;-56.1189;0;Bottom;Via41
67;;;50.7365;-1.4976;0;Bottom;Copper Fill69
68;;;49.9618;-68.6679;0;Bottom;Copper Fill64
69;;;17.6388;-9.81874;0;Bottom;Via77
70;;;28.8036;-56.387;0;Bottom;Copper Fill12
71;;;30.4799;-57.1067;0;Bottom;Via23
72;;;17.4977;-38.974;0;Bottom;Via92
73;;;19.7264;-46.1293;-90;Bottom;TXT1
74;;;29.1535;-9.21676;0;Bottom;Via76
75;;;27.7048;-42.0392;0;Bottom;Via28
76;;;26.2466;-44.7595;0;Bottom;Via56
77;;;22.8599;-2.77882;0;Bottom;P31
78;;;47.7102;-60.2271;0;Bottom;TXT3
79;;;47.5361;-9.905;0;Bottom;Copper Fill61
80;;;29.2099;-63.9505;0;Bottom;P13 SCK
81;;;14.5628;-64.1782;0;Bottom;TXT3
82;;;21.5899;-2.77882;0;Bottom;P32
83;;;34.8252;-45.8471;-90;Bottom;TXT1
84;;;10.1757;-7.65494;0;Bottom;Via84
85;;;25.7811;-17.5604;0;Bottom;IMG3
86;;;3.45712;-42.0079;0;Bottom;Via42
87;;;17.7799;-2.77882;0;Bottom;3v4
88;;;14.6051;-68.6072;0;Bottom;Via62
89;;;24.8355;-53.1555;-90;Bottom;TXT1
90;;;29.8863;-45.8471;-90;Bottom;TXT1
91;;;47.7102;-64.1782;0;Bottom;TXT3
92;;;34.6946;-43.4972;0;Bottom;Via12
93;;;20.3199;-2.77882;0;Bottom;P33
94;;;12.6999;-48.2168;0;Bottom;Via6
95;;;40.6399;-2.7506;0;Top;P44
96;;;31.7499;-7.11561;0;Bottom;Via74
97;;;44.4499;-2.7506;0;Top;P41
98;;;49.5299;-45.8179;0;Bottom;Via47
99;;;26.1232;-25.7509;0;Bottom;IMG4
100;;;50.7999;-63.9506;0;Bottom;GND
101;;;22.1543;-53.1555;-90;Bottom;TXT1
102;;;14.5628;-60.2271;0;Bottom;TXT3
103;;;25.908;-28.4216;0;Bottom;Copper Fill16
104;;;44.3865;-4.2408;0;Bottom;Copper Fill66
105;;;31.7499;-2.77882;0;Bottom;P28
106;;;37.4678;-66.31;180;Bottom;3v3
107;;;7.6199;-2.77882;0;Bottom;GND1
108;;;47.6376;-5.14159;180;Bottom;P39
109;;;14.3994;-53.1688;-90;Bottom;TXT1
110;;;21.3614;-58.4444;0;Bottom;Copper Fill14
111;;;50.7999;-2.77882;0;Bottom;P21
112;;;29.2099;-2.7506;0;Top;P49
113;;;41.9099;-53.2968;0;Bottom;Via3
114;;;45.7199;-45.8179;0;Bottom;Via19
115;;;50.7999;-2.7506;0;Top;P40
116;;;45.3517;-36.2194;0;Bottom;Copper Fill30
117;;;29.1393;-58.3767;0;Bottom;Via27
118;;;2.32824;-39.1151;0;Bottom;Via32
119;;;10.1599;-2.77882;0;Bottom;P35
120;;;27.3816;-53.4377;-90;Bottom;TXT1
121;;;51.1556;-48.2463;0;Bottom;Copper Fill33
122;;;4.65657;-35.4033;0;Bottom;Via86
123;;;8.8899;-63.9505;0;Bottom;P5
124;;;7.54173;-10.3205;0;Bottom;Via82
125;;;50.7365;-4.2408;0;Bottom;Copper Fill68
126;;;1.2699;-2.7506;0;Top;GND5
127;;;20.3199;-59.7878;0;Bottom;Via43
128;;;22.7838;-6.9332;0;Bottom;Copper Fill27
129;;;15.5956;-59.0032;0;Bottom;Copper Fill10
130;;;4.42137;-7.41205;0;Bottom;Via70
131;;;4.43082;-5.12917;180;Bottom;GND3
132;;;47.5361;-1.4468;0;Bottom;Copper Fill65
133;;;11.4299;-63.9505;0;Bottom;P7
134;;;37.6276;-64.1782;0;Bottom;TXT3
135;;;32.2146;-45.8471;-90;Bottom;TXT1
136;;;31.7499;-55.8367;0;Bottom;Via16
137;;;26.0622;-38.9586;0;Bottom;IMG1
138;;;8.8899;-2.7506;0;Top;P55
139;;;30.4799;-2.77882;0;Bottom;P29
140;;;1.23858;-10.3519;0;Bottom;Via81
141;;;19.0499;-63.9505;0;Bottom;P9
142;;;4.40284;-60.2271;0;Bottom;TXT3
143;;;23.7066;-58.4472;0;Bottom;Via55
